file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,54,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,0,0
style.css,55,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,0,17
style.css,56,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,1,12
style.css,57,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,1,26
style.css,58,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,1,15
style.css,59,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,1,7
style.css,60,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,0,0
style.css,61,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,0,0
style.css,62,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,0,12
style.css,63,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,1,8
style.css,64,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,0,0
style.css,65,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,0,0
style.css,66,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,0,2
style.css,67,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,1,14
style.css,68,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,0,0
style.css,69,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,0,0
style.css,70,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,0,22
style.css,71,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,1,15
style.css,72,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,1,17
style.css,73,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,0,0
style.css,74,css,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,0,0
style.css,75,css,a2427269,Rocio,2026-04-17,08:13:49,-07:00,2026-04-17T08:13:49-07:00,0,13
style.css,76,css,a2427269,Rocio,2026-04-17,08:13:49,-07:00,2026-04-17T08:13:49-07:00,1,17
style.css,77,css,a2427269,Rocio,2026-04-17,08:13:49,-07:00,2026-04-17T08:13:49-07:00,1,7
style.css,78,css,a2427269,Rocio,2026-04-17,08:13:49,-07:00,2026-04-17T08:13:49-07:00,1,9
style.css,79,css,a2427269,Rocio,2026-04-17,08:13:49,-07:00,2026-04-17T08:13:49-07:00,0,0
style.css,80,css,a2427269,Rocio,2026-04-17,08:13:49,-07:00,2026-04-17T08:13:49-07:00,0,0
style.css,81,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,17
style.css,82,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,1,12
style.css,83,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,1,58
style.css,84,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,1,8
style.css,85,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,1,17
style.css,86,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,0
style.css,87,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,0
style.css,88,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,17
style.css,89,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,1,42
style.css,90,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,1,16
style.css,91,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,0
style.css,92,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,0
style.css,93,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,17
style.css,94,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,1,45
style.css,95,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,1,8
style.css,96,css,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,0
style.css,97,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,98,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,13
style.css,99,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,30
style.css,100,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,34
style.css,101,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,49
style.css,102,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,17
